formula_index,location,document_paragraph,context,source_object,source_formula_decoded_now,converted_formula_in_existing_docx,diagnostic_normalized_source,diagnostic_normalized_converted,mismatch_reason,current_decoder_valid,current_decoder_error
114,"{'block_index': 72, 'paragraph_index': 118, 'table_index': 10, 'row': 0, 'col': 0, 'run_index': 6, 'in_table_cell': True}",143,在△ABC中，已知[MathType OLE]、[MathType OLE]且[MathType OLE]，試求a之長。,word/embeddings/oleObject114.bin,$ c=3 $,[MATH_PARSE_FAILED_114],c=3,[MATH_PARSE_FAILED_114],conversion_failure_placeholder; historical per-object error unavailable,True,
115,"{'block_index': 72, 'paragraph_index': 118, 'table_index': 10, 'row': 0, 'col': 0, 'run_index': 8, 'in_table_cell': True}",143,在△ABC中，已知[MathType OLE]、[MathType OLE]且[MathType OLE]，試求a之長。,word/embeddings/oleObject115.bin,$ \angle A=120{}^\circ  $,[MATH_PARSE_FAILED_115],\angle A=120{}^\circ,[MATH_PARSE_FAILED_115],conversion_failure_placeholder; historical per-object error unavailable,True,
116,"{'block_index': 72, 'paragraph_index': 121, 'table_index': 10, 'row': 1, 'col': 0, 'run_index': 0, 'in_table_cell': True}",146,[MathType OLE],word/embeddings/oleObject116.bin,$ a ^ { 2 } =b ^ { 2 } +c ^ { 2 } -2bccosA $,[MATH_PARSE_FAILED_116],a ^ { 2 } =b ^ { 2 } +c ^ { 2 } -2bccosA,[MATH_PARSE_FAILED_116],conversion_failure_placeholder; historical per-object error unavailable,True,
117,"{'block_index': 72, 'paragraph_index': 122, 'table_index': 10, 'row': 1, 'col': 0, 'run_index': 2, 'in_table_cell': True}",147,得[MathType OLE],word/embeddings/oleObject117.bin,$ a ^ { 2 } =5 ^ { 2 } +3 ^ { 2 } -2\times 5\times 3\times cos120{}^\circ  $,[MATH_PARSE_FAILED_117],a ^ { 2 } =5 ^ { 2 } +3 ^ { 2 } -2\times 5\times 3\times cos120{}^\circ,[MATH_PARSE_FAILED_117],conversion_failure_placeholder; historical per-object error unavailable,True,
118,"{'block_index': 72, 'paragraph_index': 123, 'table_index': 10, 'row': 1, 'col': 0, 'run_index': 1, 'in_table_cell': True}",148,[MathType OLE]別忘了開根號才是a[MathType OLE]別忘了開根號才是a[MathType OLE],word/embeddings/oleObject118.bin,$ a ^ { 2 }  $,[MATH_PARSE_FAILED_118],a ^ { 2 },[MATH_PARSE_FAILED_118],conversion_failure_placeholder; historical per-object error unavailable,True,
119,"{'block_index': 72, 'paragraph_index': 123, 'table_index': 10, 'row': 1, 'col': 0, 'run_index': 1, 'in_table_cell': True}",148,[MathType OLE]別忘了開根號才是a[MathType OLE]別忘了開根號才是a[MathType OLE],word/embeddings/oleObject119.bin,$ a ^ { 2 }  $,[MATH_PARSE_FAILED_119],a ^ { 2 },[MATH_PARSE_FAILED_119],conversion_failure_placeholder; historical per-object error unavailable,True,
120,"{'block_index': 72, 'paragraph_index': 123, 'table_index': 10, 'row': 1, 'col': 0, 'run_index': 3, 'in_table_cell': True}",148,[MathType OLE]別忘了開根號才是a[MathType OLE]別忘了開根號才是a[MathType OLE],word/embeddings/oleObject120.bin,$ =5 ^ { 2 } +3 ^ { 2 } -2\times 5\times 3\times \left ( { -\frac { 1 } { 2 } } \right )=49 $,[MATH_PARSE_FAILED_120],=5 ^ { 2 } +3 ^ { 2 } -2\times 5\times 3\times \left ( { -\frac { 1 } { 2 } } \right )=49,[MATH_PARSE_FAILED_120],conversion_failure_placeholder; historical per-object error unavailable,True,
121,"{'block_index': 72, 'paragraph_index': 124, 'table_index': 10, 'row': 1, 'col': 0, 'run_index': 1, 'in_table_cell': True}",151,所以[MathType OLE]（負不合），故[MathType OLE],word/embeddings/oleObject121.bin,$ a=\pm 7 $,[MATH_PARSE_FAILED_121],a=\pm 7,[MATH_PARSE_FAILED_121],conversion_failure_placeholder; historical per-object error unavailable,True,
122,"{'block_index': 72, 'paragraph_index': 124, 'table_index': 10, 'row': 1, 'col': 0, 'run_index': 4, 'in_table_cell': True}",151,所以[MathType OLE]（負不合），故[MathType OLE],word/embeddings/oleObject122.bin,$ a=7 $,[MATH_PARSE_FAILED_122],a=7,[MATH_PARSE_FAILED_122],conversion_failure_placeholder; historical per-object error unavailable,True,
123,"{'block_index': 72, 'paragraph_index': 127, 'table_index': 10, 'row': 1, 'col': 0, 'run_index': 7, 'in_table_cell': True}",154,4.在△ABC中，已知[MathType OLE]、[MathType OLE]且[MathType OLE]，試求a之長。,word/embeddings/oleObject123.bin,$ b=1+\sqrt[] { 3 } $,[MATH_PARSE_FAILED_123],b=1+\sqrt[] { 3 },[MATH_PARSE_FAILED_123],conversion_failure_placeholder; historical per-object error unavailable,True,
124,"{'block_index': 72, 'paragraph_index': 127, 'table_index': 10, 'row': 1, 'col': 0, 'run_index': 9, 'in_table_cell': True}",154,4.在△ABC中，已知[MathType OLE]、[MathType OLE]且[MathType OLE]，試求a之長。,word/embeddings/oleObject124.bin,$ c=2 $,[MATH_PARSE_FAILED_124],c=2,[MATH_PARSE_FAILED_124],conversion_failure_placeholder; historical per-object error unavailable,True,
125,"{'block_index': 72, 'paragraph_index': 127, 'table_index': 10, 'row': 1, 'col': 0, 'run_index': 11, 'in_table_cell': True}",154,4.在△ABC中，已知[MathType OLE]、[MathType OLE]且[MathType OLE]，試求a之長。,word/embeddings/oleObject125.bin,$ \angle A=30{}^\circ  $,[MATH_PARSE_FAILED_125],\angle A=30{}^\circ,[MATH_PARSE_FAILED_125],conversion_failure_placeholder; historical per-object error unavailable,True,
126,"{'block_index': 74, 'paragraph_index': 131, 'table_index': 11, 'row': 0, 'col': 0, 'run_index': 4, 'in_table_cell': True}",158,設△ABC的三邊長[MathType OLE]、[MathType OLE]、[MathType OLE]，試求[MathType OLE]。,word/embeddings/oleObject126.bin,$ a=7 $,[MATH_PARSE_FAILED_126],a=7,[MATH_PARSE_FAILED_126],conversion_failure_placeholder; historical per-object error unavailable,True,
127,"{'block_index': 74, 'paragraph_index': 131, 'table_index': 11, 'row': 0, 'col': 0, 'run_index': 6, 'in_table_cell': True}",158,設△ABC的三邊長[MathType OLE]、[MathType OLE]、[MathType OLE]，試求[MathType OLE]。,word/embeddings/oleObject127.bin,$ b=5 $,[MATH_PARSE_FAILED_127],b=5,[MATH_PARSE_FAILED_127],conversion_failure_placeholder; historical per-object error unavailable,True,
128,"{'block_index': 74, 'paragraph_index': 131, 'table_index': 11, 'row': 0, 'col': 0, 'run_index': 8, 'in_table_cell': True}",158,設△ABC的三邊長[MathType OLE]、[MathType OLE]、[MathType OLE]，試求[MathType OLE]。,word/embeddings/oleObject128.bin,$ c=3 $,[MATH_PARSE_FAILED_128],c=3,[MATH_PARSE_FAILED_128],conversion_failure_placeholder; historical per-object error unavailable,True,
129,"{'block_index': 74, 'paragraph_index': 131, 'table_index': 11, 'row': 0, 'col': 0, 'run_index': 10, 'in_table_cell': True}",158,設△ABC的三邊長[MathType OLE]、[MathType OLE]、[MathType OLE]，試求[MathType OLE]。,word/embeddings/oleObject129.bin,$ \angle A $,[MATH_PARSE_FAILED_129],\angle A,[MATH_PARSE_FAILED_129],conversion_failure_placeholder; historical per-object error unavailable,True,
130,"{'block_index': 74, 'paragraph_index': 133, 'table_index': 11, 'row': 1, 'col': 0, 'run_index': 1, 'in_table_cell': True}",160,利用餘弦定理[MathType OLE],word/embeddings/oleObject130.bin,$ cosA=\frac { b ^ { 2 } +c ^ { 2 } -a ^ { 2 }  } { 2bc } $,[MATH_PARSE_FAILED_130],cosA=\frac { b ^ { 2 } +c ^ { 2 } -a ^ { 2 } } { 2bc },[MATH_PARSE_FAILED_130],conversion_failure_placeholder; historical per-object error unavailable,True,
131,"{'block_index': 74, 'paragraph_index': 134, 'table_index': 11, 'row': 1, 'col': 0, 'run_index': 2, 'in_table_cell': True}",161,延伸思考：若是改求最大角之角度呢？延伸思考：若是改求最大角之角度呢？得[MathType OLE],word/embeddings/oleObject131.bin,$ cosA=\frac { 5 ^ { 2 } +3 ^ { 2 } -7 ^ { 2 }  } { 2\times 5\times 3 }=\frac { 25+9-49 } { 30 }=-\frac { 1 } { 2 } $,[MATH_PARSE_FAILED_131],cosA=\frac { 5 ^ { 2 } +3 ^ { 2 } -7 ^ { 2 } } { 2\times 5\times 3 }=\frac { 25+9-49 } { 30 }=-\frac { 1 } { 2 },[MATH_PARSE_FAILED_131],conversion_failure_placeholder; historical per-object error unavailable,True,
132,"{'block_index': 74, 'paragraph_index': 135, 'table_index': 11, 'row': 1, 'col': 0, 'run_index': 1, 'in_table_cell': True}",164,故[MathType OLE],word/embeddings/oleObject132.bin,$ \angle A=120{}^\circ  $,[MATH_PARSE_FAILED_132],\angle A=120{}^\circ,[MATH_PARSE_FAILED_132],conversion_failure_placeholder; historical per-object error unavailable,True,
133,"{'block_index': 74, 'paragraph_index': 138, 'table_index': 11, 'row': 1, 'col': 0, 'run_index': 7, 'in_table_cell': True}",167,5.設△ABC的三邊長[MathType OLE]、[MathType OLE]、[MathType OLE]，試求[MathType OLE]。,word/embeddings/oleObject133.bin,$ a=3 $,[MATH_PARSE_FAILED_133],a=3,[MATH_PARSE_FAILED_133],conversion_failure_placeholder; historical per-object error unavailable,True,
134,"{'block_index': 74, 'paragraph_index': 138, 'table_index': 11, 'row': 1, 'col': 0, 'run_index': 9, 'in_table_cell': True}",167,5.設△ABC的三邊長[MathType OLE]、[MathType OLE]、[MathType OLE]，試求[MathType OLE]。,word/embeddings/oleObject134.bin,$ b=8 $,[MATH_PARSE_FAILED_134],b=8,[MATH_PARSE_FAILED_134],conversion_failure_placeholder; historical per-object error unavailable,True,
135,"{'block_index': 74, 'paragraph_index': 138, 'table_index': 11, 'row': 1, 'col': 0, 'run_index': 11, 'in_table_cell': True}",167,5.設△ABC的三邊長[MathType OLE]、[MathType OLE]、[MathType OLE]，試求[MathType OLE]。,word/embeddings/oleObject135.bin,$ c=7 $,[MATH_PARSE_FAILED_135],c=7,[MATH_PARSE_FAILED_135],conversion_failure_placeholder; historical per-object error unavailable,True,
136,"{'block_index': 74, 'paragraph_index': 138, 'table_index': 11, 'row': 1, 'col': 0, 'run_index': 13, 'in_table_cell': True}",167,5.設△ABC的三邊長[MathType OLE]、[MathType OLE]、[MathType OLE]，試求[MathType OLE]。,word/embeddings/oleObject136.bin,$ \angle C $,[MATH_PARSE_FAILED_136],\angle C,[MATH_PARSE_FAILED_136],conversion_failure_placeholder; historical per-object error unavailable,True,
137,"{'block_index': 81, 'paragraph_index': 146, 'table_index': None, 'row': None, 'col': None, 'run_index': 4, 'in_table_cell': False}",175,AB路段與AC路段夾角為[MathType OLE]，如圖所示。若BC路段也,word/embeddings/oleObject137.bin,$ 60{}^\circ  $,[MATH_PARSE_FAILED_137],60{}^\circ,[MATH_PARSE_FAILED_137],conversion_failure_placeholder; historical per-object error unavailable,True,
138,"{'block_index': 86, 'paragraph_index': 151, 'table_index': None, 'row': None, 'col': None, 'run_index': 1, 'in_table_cell': False}",180,餘弦定理：[MathType OLE],word/embeddings/oleObject138.bin,$ a ^ { 2 } =b ^ { 2 } +c ^ { 2 } -2bccosA $,[MATH_PARSE_FAILED_138],a ^ { 2 } =b ^ { 2 } +c ^ { 2 } -2bccosA,[MATH_PARSE_FAILED_138],conversion_failure_placeholder; historical per-object error unavailable,True,
139,"{'block_index': 94, 'paragraph_index': 159, 'table_index': None, 'row': None, 'col': None, 'run_index': 3, 'in_table_cell': False}",188,1設[MathType OLE]表示△ABC的面積，a、b和c分別表示[MathType OLE]、[MathType OLE]和[MathType OLE]之對邊長，且R為其外接圓半徑，則,word/embeddings/oleObject139.bin,$ \Delta  $,[MATH_PARSE_FAILED_139],\Delta,[MATH_PARSE_FAILED_139],conversion_failure_placeholder; historical per-object error unavailable,True,
140,"{'block_index': 94, 'paragraph_index': 159, 'table_index': None, 'row': None, 'col': None, 'run_index': 14, 'in_table_cell': False}",188,1設[MathType OLE]表示△ABC的面積，a、b和c分別表示[MathType OLE]、[MathType OLE]和[MathType OLE]之對邊長，且R為其外接圓半徑，則,word/embeddings/oleObject140.bin,$ \angle A $,[MATH_PARSE_FAILED_140],\angle A,[MATH_PARSE_FAILED_140],conversion_failure_placeholder; historical per-object error unavailable,True,
141,"{'block_index': 94, 'paragraph_index': 159, 'table_index': None, 'row': None, 'col': None, 'run_index': 16, 'in_table_cell': False}",188,1設[MathType OLE]表示△ABC的面積，a、b和c分別表示[MathType OLE]、[MathType OLE]和[MathType OLE]之對邊長，且R為其外接圓半徑，則,word/embeddings/oleObject141.bin,$ \angle B $,[MATH_PARSE_FAILED_141],\angle B,[MATH_PARSE_FAILED_141],conversion_failure_placeholder; historical per-object error unavailable,True,
142,"{'block_index': 94, 'paragraph_index': 159, 'table_index': None, 'row': None, 'col': None, 'run_index': 18, 'in_table_cell': False}",188,1設[MathType OLE]表示△ABC的面積，a、b和c分別表示[MathType OLE]、[MathType OLE]和[MathType OLE]之對邊長，且R為其外接圓半徑，則,word/embeddings/oleObject142.bin,$ \angle C $,[MATH_PARSE_FAILED_142],\angle C,[MATH_PARSE_FAILED_142],conversion_failure_placeholder; historical per-object error unavailable,True,
143,"{'block_index': 95, 'paragraph_index': 160, 'table_index': None, 'row': None, 'col': None, 'run_index': 4, 'in_table_cell': False}",189,(1)[MathType OLE]　　　　[MathType OLE]。,word/embeddings/oleObject143.bin,$ \Delta =\frac { 1 } { 2 }absinC= $,[MATH_PARSE_FAILED_143],\Delta =\frac { 1 } { 2 }absinC=,[MATH_PARSE_FAILED_143],conversion_failure_placeholder; historical per-object error unavailable,True,
144,"{'block_index': 95, 'paragraph_index': 160, 'table_index': None, 'row': None, 'col': None, 'run_index': 6, 'in_table_cell': False}",189,(1)[MathType OLE]　　　　[MathType OLE]。,word/embeddings/oleObject144.bin,$ =\frac { 1 } { 2 }casinB $,[MATH_PARSE_FAILED_144],=\frac { 1 } { 2 }casinB,[MATH_PARSE_FAILED_144],conversion_failure_placeholder; historical per-object error unavailable,True,
145,"{'block_index': 96, 'paragraph_index': 161, 'table_index': None, 'row': None, 'col': None, 'run_index': 4, 'in_table_cell': False}",190,(2)[MathType OLE]　　　　[MathType OLE]　　　　。,word/embeddings/oleObject145.bin,$ \frac { a } { sinA }= $,[MATH_PARSE_FAILED_145],\frac { a } { sinA }=,[MATH_PARSE_FAILED_145],conversion_failure_placeholder; historical per-object error unavailable,True,
146,"{'block_index': 96, 'paragraph_index': 161, 'table_index': None, 'row': None, 'col': None, 'run_index': 6, 'in_table_cell': False}",190,(2)[MathType OLE]　　　　[MathType OLE]　　　　。,word/embeddings/oleObject146.bin,$ =\frac { c } { sinC }=2 $,[MATH_PARSE_FAILED_146],=\frac { c } { sinC }=2,[MATH_PARSE_FAILED_146],conversion_failure_placeholder; historical per-object error unavailable,True,
147,"{'block_index': 97, 'paragraph_index': 162, 'table_index': None, 'row': None, 'col': None, 'run_index': 4, 'in_table_cell': False}",191,(3)[MathType OLE]　　　　[MathType OLE]　　　　。,word/embeddings/oleObject147.bin,"$ a\,\ :\ \,b\,\ :\ \,c=sinA\,\ :\ \, $",[MATH_PARSE_FAILED_147],"a\,\ :\ \,b\,\ :\ \,c=sinA\,\ :\ \,",[MATH_PARSE_FAILED_147],conversion_failure_placeholder; historical per-object error unavailable,True,
148,"{'block_index': 97, 'paragraph_index': 162, 'table_index': None, 'row': None, 'col': None, 'run_index': 6, 'in_table_cell': False}",191,(3)[MathType OLE]　　　　[MathType OLE]　　　　。,word/embeddings/oleObject148.bin,"$ \,\ :\ \, $",[MATH_PARSE_FAILED_148],"\,\ :\ \,",[MATH_PARSE_FAILED_148],conversion_failure_placeholder; historical per-object error unavailable,True,
149,"{'block_index': 98, 'paragraph_index': 163, 'table_index': None, 'row': None, 'col': None, 'run_index': 4, 'in_table_cell': False}",192,(4)[MathType OLE]，[MathType OLE]　　　　　　，[MathType OLE]。,word/embeddings/oleObject149.bin,$ a ^ { 2 } =b ^ { 2 } +c ^ { 2 } -2bccosA $,[MATH_PARSE_FAILED_149],a ^ { 2 } =b ^ { 2 } +c ^ { 2 } -2bccosA,[MATH_PARSE_FAILED_149],conversion_failure_placeholder; historical per-object error unavailable,True,
150,"{'block_index': 98, 'paragraph_index': 163, 'table_index': None, 'row': None, 'col': None, 'run_index': 6, 'in_table_cell': False}",192,(4)[MathType OLE]，[MathType OLE]　　　　　　，[MathType OLE]。,word/embeddings/oleObject150.bin,$ b ^ { 2 } = $,[MATH_PARSE_FAILED_150],b ^ { 2 } =,[MATH_PARSE_FAILED_150],conversion_failure_placeholder; historical per-object error unavailable,True,
151,"{'block_index': 98, 'paragraph_index': 163, 'table_index': None, 'row': None, 'col': None, 'run_index': 9, 'in_table_cell': False}",192,(4)[MathType OLE]，[MathType OLE]　　　　　　，[MathType OLE]。,word/embeddings/oleObject151.bin,$ c ^ { 2 } =a ^ { 2 } +b ^ { 2 } -2abcosC $,[MATH_PARSE_FAILED_151],c ^ { 2 } =a ^ { 2 } +b ^ { 2 } -2abcosC,[MATH_PARSE_FAILED_151],conversion_failure_placeholder; historical per-object error unavailable,True,
152,"{'block_index': 99, 'paragraph_index': 164, 'table_index': None, 'row': None, 'col': None, 'run_index': 4, 'in_table_cell': False}",193,(5)[MathType OLE]，[MathType OLE]　　　　　　　　，[MathType OLE]。,word/embeddings/oleObject152.bin,$ cosA=\frac { b ^ { 2 } +c ^ { 2 } -a ^ { 2 }  } { 2bc } $,[MATH_PARSE_FAILED_152],cosA=\frac { b ^ { 2 } +c ^ { 2 } -a ^ { 2 } } { 2bc },[MATH_PARSE_FAILED_152],conversion_failure_placeholder; historical per-object error unavailable,True,
153,"{'block_index': 99, 'paragraph_index': 164, 'table_index': None, 'row': None, 'col': None, 'run_index': 6, 'in_table_cell': False}",193,(5)[MathType OLE]，[MathType OLE]　　　　　　　　，[MathType OLE]。,word/embeddings/oleObject153.bin,$ cosB= $,[MATH_PARSE_FAILED_153],cosB=,[MATH_PARSE_FAILED_153],conversion_failure_placeholder; historical per-object error unavailable,True,
154,"{'block_index': 99, 'paragraph_index': 164, 'table_index': None, 'row': None, 'col': None, 'run_index': 9, 'in_table_cell': False}",193,(5)[MathType OLE]，[MathType OLE]　　　　　　　　，[MathType OLE]。,word/embeddings/oleObject154.bin,$ cosC=\frac { a ^ { 2 } +b ^ { 2 } -c ^ { 2 }  } { 2ab } $,[MATH_PARSE_FAILED_154],cosC=\frac { a ^ { 2 } +b ^ { 2 } -c ^ { 2 } } { 2ab },[MATH_PARSE_FAILED_154],conversion_failure_placeholder; historical per-object error unavailable,True,
155,"{'block_index': 101, 'paragraph_index': 166, 'table_index': None, 'row': None, 'col': None, 'run_index': 6, 'in_table_cell': False}",195,2在△ABC中，已知[MathType OLE]、[MathType OLE]且[MathType OLE]，試求△ABC的面積。,word/embeddings/oleObject155.bin,$ b=6 $,[MATH_PARSE_FAILED_155],b=6,[MATH_PARSE_FAILED_155],conversion_failure_placeholder; historical per-object error unavailable,True,
156,"{'block_index': 101, 'paragraph_index': 166, 'table_index': None, 'row': None, 'col': None, 'run_index': 8, 'in_table_cell': False}",195,2在△ABC中，已知[MathType OLE]、[MathType OLE]且[MathType OLE]，試求△ABC的面積。,word/embeddings/oleObject156.bin,$ c=4 $,[MATH_PARSE_FAILED_156],c=4,[MATH_PARSE_FAILED_156],conversion_failure_placeholder; historical per-object error unavailable,True,
157,"{'block_index': 101, 'paragraph_index': 166, 'table_index': None, 'row': None, 'col': None, 'run_index': 10, 'in_table_cell': False}",195,2在△ABC中，已知[MathType OLE]、[MathType OLE]且[MathType OLE]，試求△ABC的面積。,word/embeddings/oleObject157.bin,$ \angle A=60{}^\circ  $,[MATH_PARSE_FAILED_157],\angle A=60{}^\circ,[MATH_PARSE_FAILED_157],conversion_failure_placeholder; historical per-object error unavailable,True,
158,"{'block_index': 103, 'paragraph_index': 168, 'table_index': None, 'row': None, 'col': None, 'run_index': 6, 'in_table_cell': False}",197,3在△ABC中，已知[MathType OLE]、[MathType OLE]，且[MathType OLE]，試求a及其外接圓半徑R。,word/embeddings/oleObject158.bin,$ b=8\sqrt[] { 2 } $,[MATH_PARSE_FAILED_158],b=8\sqrt[] { 2 },[MATH_PARSE_FAILED_158],conversion_failure_placeholder; historical per-object error unavailable,True,
159,"{'block_index': 103, 'paragraph_index': 168, 'table_index': None, 'row': None, 'col': None, 'run_index': 8, 'in_table_cell': False}",197,3在△ABC中，已知[MathType OLE]、[MathType OLE]，且[MathType OLE]，試求a及其外接圓半徑R。,word/embeddings/oleObject159.bin,$ \angle A=45{}^\circ  $,[MATH_PARSE_FAILED_159],\angle A=45{}^\circ,[MATH_PARSE_FAILED_159],conversion_failure_placeholder; historical per-object error unavailable,True,
160,"{'block_index': 103, 'paragraph_index': 168, 'table_index': None, 'row': None, 'col': None, 'run_index': 10, 'in_table_cell': False}",197,3在△ABC中，已知[MathType OLE]、[MathType OLE]，且[MathType OLE]，試求a及其外接圓半徑R。,word/embeddings/oleObject160.bin,$ \angle B=30{}^\circ  $,[MATH_PARSE_FAILED_160],\angle B=30{}^\circ,[MATH_PARSE_FAILED_160],conversion_failure_placeholder; historical per-object error unavailable,True,
161,"{'block_index': 105, 'paragraph_index': 170, 'table_index': None, 'row': None, 'col': None, 'run_index': 6, 'in_table_cell': False}",199,4在△ABC中，已知[MathType OLE]、[MathType OLE]，且[MathType OLE]，試求[MathType OLE]。,word/embeddings/oleObject161.bin,$ a=4 $,[MATH_PARSE_FAILED_161],a=4,[MATH_PARSE_FAILED_161],conversion_failure_placeholder; historical per-object error unavailable,True,
162,"{'block_index': 105, 'paragraph_index': 170, 'table_index': None, 'row': None, 'col': None, 'run_index': 8, 'in_table_cell': False}",199,4在△ABC中，已知[MathType OLE]、[MathType OLE]，且[MathType OLE]，試求[MathType OLE]。,word/embeddings/oleObject162.bin,$ b=2\sqrt[] { 6 } $,[MATH_PARSE_FAILED_162],b=2\sqrt[] { 6 },[MATH_PARSE_FAILED_162],conversion_failure_placeholder; historical per-object error unavailable,True,
163,"{'block_index': 105, 'paragraph_index': 170, 'table_index': None, 'row': None, 'col': None, 'run_index': 10, 'in_table_cell': False}",199,4在△ABC中，已知[MathType OLE]、[MathType OLE]，且[MathType OLE]，試求[MathType OLE]。,word/embeddings/oleObject163.bin,$ \angle B=120{}^\circ  $,[MATH_PARSE_FAILED_163],\angle B=120{}^\circ,[MATH_PARSE_FAILED_163],conversion_failure_placeholder; historical per-object error unavailable,True,
164,"{'block_index': 105, 'paragraph_index': 170, 'table_index': None, 'row': None, 'col': None, 'run_index': 12, 'in_table_cell': False}",199,4在△ABC中，已知[MathType OLE]、[MathType OLE]，且[MathType OLE]，試求[MathType OLE]。,word/embeddings/oleObject164.bin,$ \angle A $,[MATH_PARSE_FAILED_164],\angle A,[MATH_PARSE_FAILED_164],conversion_failure_placeholder; historical per-object error unavailable,True,
165,"{'block_index': 107, 'paragraph_index': 172, 'table_index': None, 'row': None, 'col': None, 'run_index': 6, 'in_table_cell': False}",201,5在△ABC中，若[MathType OLE]、[MathType OLE]，且[MathType OLE]，試求[MathType OLE]。,word/embeddings/oleObject165.bin,$ a=2 $,[MATH_PARSE_FAILED_165],a=2,[MATH_PARSE_FAILED_165],conversion_failure_placeholder; historical per-object error unavailable,True,
166,"{'block_index': 107, 'paragraph_index': 172, 'table_index': None, 'row': None, 'col': None, 'run_index': 8, 'in_table_cell': False}",201,5在△ABC中，若[MathType OLE]、[MathType OLE]，且[MathType OLE]，試求[MathType OLE]。,word/embeddings/oleObject166.bin,$ b=\sqrt[] { 2 } $,[MATH_PARSE_FAILED_166],b=\sqrt[] { 2 },[MATH_PARSE_FAILED_166],conversion_failure_placeholder; historical per-object error unavailable,True,
167,"{'block_index': 107, 'paragraph_index': 172, 'table_index': None, 'row': None, 'col': None, 'run_index': 10, 'in_table_cell': False}",201,5在△ABC中，若[MathType OLE]、[MathType OLE]，且[MathType OLE]，試求[MathType OLE]。,word/embeddings/oleObject167.bin,$ \angle A=45{}^\circ  $,[MATH_PARSE_FAILED_167],\angle A=45{}^\circ,[MATH_PARSE_FAILED_167],conversion_failure_placeholder; historical per-object error unavailable,True,
168,"{'block_index': 107, 'paragraph_index': 172, 'table_index': None, 'row': None, 'col': None, 'run_index': 12, 'in_table_cell': False}",201,5在△ABC中，若[MathType OLE]、[MathType OLE]，且[MathType OLE]，試求[MathType OLE]。,word/embeddings/oleObject168.bin,$ \angle B $,[MATH_PARSE_FAILED_168],\angle B,[MATH_PARSE_FAILED_168],conversion_failure_placeholder; historical per-object error unavailable,True,
169,"{'block_index': 109, 'paragraph_index': 174, 'table_index': None, 'row': None, 'col': None, 'run_index': 6, 'in_table_cell': False}",203,6設△ABC的三邊長[MathType OLE]、[MathType OLE]、[MathType OLE]，試求[MathType OLE]。,word/embeddings/oleObject169.bin,$ a=7 $,[MATH_PARSE_FAILED_169],a=7,[MATH_PARSE_FAILED_169],conversion_failure_placeholder; historical per-object error unavailable,True,
170,"{'block_index': 109, 'paragraph_index': 174, 'table_index': None, 'row': None, 'col': None, 'run_index': 8, 'in_table_cell': False}",203,6設△ABC的三邊長[MathType OLE]、[MathType OLE]、[MathType OLE]，試求[MathType OLE]。,word/embeddings/oleObject170.bin,$ b=8 $,[MATH_PARSE_FAILED_170],b=8,[MATH_PARSE_FAILED_170],conversion_failure_placeholder; historical per-object error unavailable,True,
171,"{'block_index': 109, 'paragraph_index': 174, 'table_index': None, 'row': None, 'col': None, 'run_index': 10, 'in_table_cell': False}",203,6設△ABC的三邊長[MathType OLE]、[MathType OLE]、[MathType OLE]，試求[MathType OLE]。,word/embeddings/oleObject171.bin,$ c=5 $,[MATH_PARSE_FAILED_171],c=5,[MATH_PARSE_FAILED_171],conversion_failure_placeholder; historical per-object error unavailable,True,
172,"{'block_index': 109, 'paragraph_index': 174, 'table_index': None, 'row': None, 'col': None, 'run_index': 12, 'in_table_cell': False}",203,6設△ABC的三邊長[MathType OLE]、[MathType OLE]、[MathType OLE]，試求[MathType OLE]。,word/embeddings/oleObject172.bin,$ \angle A $,[MATH_PARSE_FAILED_172],\angle A,[MATH_PARSE_FAILED_172],conversion_failure_placeholder; historical per-object error unavailable,True,
173,"{'block_index': 111, 'paragraph_index': 176, 'table_index': None, 'row': None, 'col': None, 'run_index': 6, 'in_table_cell': False}",205,7設△ABC的三邊長[MathType OLE]、[MathType OLE]、[MathType OLE]，試求[MathType OLE]。,word/embeddings/oleObject173.bin,$ a=\sqrt[] { 3 } $,[MATH_PARSE_FAILED_173],a=\sqrt[] { 3 },[MATH_PARSE_FAILED_173],conversion_failure_placeholder; historical per-object error unavailable,True,
174,"{'block_index': 111, 'paragraph_index': 176, 'table_index': None, 'row': None, 'col': None, 'run_index': 8, 'in_table_cell': False}",205,7設△ABC的三邊長[MathType OLE]、[MathType OLE]、[MathType OLE]，試求[MathType OLE]。,word/embeddings/oleObject174.bin,$ b=2\sqrt[] { 3 } $,[MATH_PARSE_FAILED_174],b=2\sqrt[] { 3 },[MATH_PARSE_FAILED_174],conversion_failure_placeholder; historical per-object error unavailable,True,
175,"{'block_index': 111, 'paragraph_index': 176, 'table_index': None, 'row': None, 'col': None, 'run_index': 10, 'in_table_cell': False}",205,7設△ABC的三邊長[MathType OLE]、[MathType OLE]、[MathType OLE]，試求[MathType OLE]。,word/embeddings/oleObject175.bin,$ c=3 $,[MATH_PARSE_FAILED_175],c=3,[MATH_PARSE_FAILED_175],conversion_failure_placeholder; historical per-object error unavailable,True,
